[2026-02-26 10:43:29] local.ERROR: Job failed for keyword aayna clinic: Undefined property: App\Jobs\ProcessKeywordStatusJob::$keywordPlannerId  
[2026-02-26 10:43:31] local.ERROR: Job failed for keyword aayna: Undefined property: App\Jobs\ProcessKeywordStatusJob::$keywordPlannerId  
[2026-02-26 10:43:34] local.ERROR: Job failed for keyword aayna clinic gurgaon: Undefined property: App\Jobs\ProcessKeywordStatusJob::$keywordPlannerId  
[2026-02-26 10:43:37] local.ERROR: Job failed for keyword aayna clinic sda: Undefined property: App\Jobs\ProcessKeywordStatusJob::$keywordPlannerId  
[2026-02-26 10:43:40] local.ERROR: Job failed for keyword aayna sda: Undefined property: App\Jobs\ProcessKeywordStatusJob::$keywordPlannerId  
[2026-02-26 10:43:43] local.ERROR: Job failed for keyword aayna clinic khan market: Undefined property: App\Jobs\ProcessKeywordStatusJob::$keywordPlannerId  
[2026-02-26 10:43:45] local.ERROR: Job failed for keyword aayna clinic delhi: Undefined property: App\Jobs\ProcessKeywordStatusJob::$keywordPlannerId  
[2026-02-26 10:49:22] local.INFO: Processed keyword: aayna clinic | keyword_planner_id: 1 | AIO: No | Client Mentioned: No  
[2026-02-26 10:49:25] local.INFO: Processed keyword: aayna | keyword_planner_id: 2 | AIO: No | Client Mentioned: No  
[2026-02-26 10:49:28] local.INFO: Processed keyword: aayna clinic gurgaon | keyword_planner_id: 5 | AIO: No | Client Mentioned: No  
[2026-02-26 10:49:39] local.INFO: Processed keyword: aayna clinic sda | keyword_planner_id: 9 | AIO: No | Client Mentioned: No  
[2026-02-26 10:49:41] local.INFO: Processed keyword: aayna sda | keyword_planner_id: 8 | AIO: No | Client Mentioned: No  
[2026-02-26 10:49:46] local.INFO: Processed keyword: aayna clinic khan market | keyword_planner_id: 10 | AIO: No | Client Mentioned: No  
[2026-02-26 10:49:48] local.INFO: Processed keyword: aayna clinic delhi | keyword_planner_id: 7 | AIO: No | Client Mentioned: No  
[2026-02-26 10:49:50] local.INFO: Processed keyword: aayna khan market | keyword_planner_id: 4 | AIO: No | Client Mentioned: No  
[2026-02-26 10:49:53] local.INFO: Processed keyword: aayna prive | keyword_planner_id: 3 | AIO: No | Client Mentioned: No  
[2026-02-26 10:49:55] local.INFO: Processed keyword: hydra facial price | keyword_planner_id: 6 | AIO: No | Client Mentioned: No  
[2026-02-26 10:50:04] local.INFO: Processed keyword: diet for glowing skin in 3 days | keyword_planner_id: 11 | AIO: No | Client Mentioned: No  
[2026-02-26 10:50:07] local.INFO: Processed keyword: aayna ludhiana | keyword_planner_id: 17 | AIO: No | Client Mentioned: No  
[2026-02-26 10:50:10] local.INFO: Processed keyword: aayna skin clinic | keyword_planner_id: 13 | AIO: No | Client Mentioned: No  
[2026-02-26 10:50:14] local.INFO: Processed keyword: ayana clinic | keyword_planner_id: 14 | AIO: No | Client Mentioned: No  
[2026-02-26 10:50:17] local.INFO: Processed keyword: korean facial in delhi | keyword_planner_id: 32 | AIO: No | Client Mentioned: No  
[2026-02-26 10:51:38] local.INFO: Processed keyword: aayna clinic | keyword_planner_id: 1 | AIO: No | Client Mentioned: No  
[2026-02-26 10:51:43] local.INFO: Processed keyword: aayna | keyword_planner_id: 2 | AIO: No | Client Mentioned: No  
[2026-02-26 10:51:46] local.INFO: Processed keyword: aayna clinic gurgaon | keyword_planner_id: 5 | AIO: No | Client Mentioned: No  
[2026-02-26 10:51:49] local.INFO: Processed keyword: aayna clinic sda | keyword_planner_id: 9 | AIO: No | Client Mentioned: No  
[2026-02-26 10:51:52] local.INFO: Processed keyword: aayna sda | keyword_planner_id: 8 | AIO: No | Client Mentioned: No  
[2026-02-26 10:51:57] local.INFO: Processed keyword: aayna clinic khan market | keyword_planner_id: 10 | AIO: No | Client Mentioned: No  
[2026-02-26 10:52:01] local.INFO: Processed keyword: aayna clinic delhi | keyword_planner_id: 7 | AIO: No | Client Mentioned: No  
[2026-02-26 10:52:03] local.INFO: Processed keyword: aayna khan market | keyword_planner_id: 4 | AIO: No | Client Mentioned: No  
[2026-02-26 10:52:06] local.INFO: Processed keyword: aayna prive | keyword_planner_id: 3 | AIO: No | Client Mentioned: No  
[2026-02-26 10:52:08] local.INFO: Processed keyword: hydra facial price | keyword_planner_id: 6 | AIO: No | Client Mentioned: No  
[2026-02-26 10:52:13] local.INFO: Processed keyword: diet for glowing skin in 3 days | keyword_planner_id: 11 | AIO: No | Client Mentioned: No  
[2026-02-26 10:52:15] local.INFO: Processed keyword: aayna ludhiana | keyword_planner_id: 17 | AIO: No | Client Mentioned: No  
[2026-02-26 10:52:17] local.INFO: Processed keyword: aayna skin clinic | keyword_planner_id: 13 | AIO: No | Client Mentioned: No  
[2026-02-26 10:52:21] local.INFO: Processed keyword: ayana clinic | keyword_planner_id: 14 | AIO: No | Client Mentioned: No  
[2026-02-26 10:52:26] local.INFO: Processed keyword: korean facial in delhi | keyword_planner_id: 32 | AIO: No | Client Mentioned: No  
[2026-02-26 10:52:36] local.INFO: Processed keyword: aayna prive experience | keyword_planner_id: 35 | AIO: Yes | Client Mentioned: Yes  
[2026-02-26 10:52:40] local.INFO: Processed keyword: anti aging foods for men | keyword_planner_id: 29 | AIO: No | Client Mentioned: No  
[2026-02-26 10:52:43] local.INFO: Processed keyword: aayna clinic near me | keyword_planner_id: 16 | AIO: No | Client Mentioned: No  
[2026-02-26 10:52:46] local.INFO: Processed keyword: aayana clinic | keyword_planner_id: 23 | AIO: No | Client Mentioned: No  
[2026-02-26 10:52:49] local.INFO: Processed keyword: aayna gurgaon | keyword_planner_id: 15 | AIO: No | Client Mentioned: No  
[2026-02-26 10:52:53] local.INFO: Processed keyword: hydra facial | keyword_planner_id: 21 | AIO: Yes | Client Mentioned: No  
[2026-02-26 10:52:55] local.INFO: Processed keyword: aaina clinic | keyword_planner_id: 22 | AIO: No | Client Mentioned: No  
[2026-02-26 10:52:58] local.INFO: Processed keyword: hydra facial gurgaon | keyword_planner_id: 12 | AIO: No | Client Mentioned: No  
[2026-02-26 10:53:05] local.INFO: Processed keyword: aayna clinic ludhiana | keyword_planner_id: 25 | AIO: No | Client Mentioned: No  
[2026-02-26 10:53:15] local.INFO: Processed keyword: aaynaclinic | keyword_planner_id: 1924 | AIO: No | Client Mentioned: No  
[2026-02-26 10:53:21] local.INFO: Processed keyword: hydra facial near me | keyword_planner_id: 27 | AIO: Yes | Client Mentioned: No  
[2026-02-26 10:53:24] local.INFO: Processed keyword: skin looks worse after hydrafacial | keyword_planner_id: 1914 | AIO: Yes | Client Mentioned: No  
[2026-02-26 10:53:27] local.INFO: Processed keyword: aayna clinic - best dermatology & aesthetics clinic in gurgaon | skin clinic in gurgaon | laser hair removal in gurgaon gurugram | keyword_planner_id: 34 | AIO: Yes | Client Mentioned: Yes  
[2026-02-26 10:53:32] local.INFO: Processed keyword: aayna clinic | best dermatology & aesthetics clinic in ludhiana | skin clinic in ludhiana| laser hair removal in ludhiana | keyword_planner_id: 1918 | AIO: No | Client Mentioned: No  
[2026-02-26 10:53:39] local.INFO: Processed keyword: laser hair removal near me | keyword_planner_id: 1917 | AIO: Yes | Client Mentioned: No  
[2026-02-26 10:53:41] local.INFO: Processed keyword: diet plan for glowing skin | keyword_planner_id: 19 | AIO: Yes | Client Mentioned: Yes  
[2026-02-26 10:53:44] local.INFO: Processed keyword: pumpkin peel facial cost | keyword_planner_id: 28 | AIO: No | Client Mentioned: No  
[2026-02-26 10:53:48] local.INFO: Processed keyword: aanya clinic | keyword_planner_id: 50 | AIO: No | Client Mentioned: No  
[2026-02-26 10:53:53] local.INFO: Processed keyword: anu kaushik | keyword_planner_id: 1915 | AIO: No | Client Mentioned: No  
[2026-02-26 10:53:56] local.INFO: Processed keyword: collagen facial | keyword_planner_id: 1919 | AIO: No | Client Mentioned: No  
[2026-02-26 10:53:58] local.INFO: Processed keyword: dr simal soin dermatologist | keyword_planner_id: 30 | AIO: No | Client Mentioned: No  
[2026-02-26 10:54:02] local.INFO: Processed keyword: dr simal soin skincare | keyword_planner_id: 1932 | AIO: No | Client Mentioned: No  
[2026-02-26 10:54:06] local.INFO: Processed keyword: glowing skin diet plan | keyword_planner_id: 31 | AIO: Yes | Client Mentioned: Yes  
[2026-02-26 10:54:11] local.INFO: Processed keyword: hydrafacial | keyword_planner_id: 46 | AIO: Yes | Client Mentioned: No  
[2026-02-26 10:54:13] local.INFO: Processed keyword: hydrafacial near me | keyword_planner_id: 26 | AIO: No | Client Mentioned: No  
[2026-02-26 11:22:59] local.INFO: Processed keyword: aayna clinic | keyword_planner_id: 1 | AIO: No | Client Mentioned: No  
[2026-02-26 11:23:02] local.INFO: Processed keyword: aayna | keyword_planner_id: 2 | AIO: No | Client Mentioned: No  
[2026-02-26 11:23:06] local.INFO: Processed keyword: aayna clinic gurgaon | keyword_planner_id: 5 | AIO: No | Client Mentioned: No  
[2026-02-26 11:23:10] local.INFO: Processed keyword: aayna clinic sda | keyword_planner_id: 9 | AIO: No | Client Mentioned: No  
[2026-02-26 11:23:13] local.INFO: Processed keyword: aayna sda | keyword_planner_id: 8 | AIO: No | Client Mentioned: No  
[2026-02-26 11:23:20] local.INFO: Processed keyword: aayna clinic khan market | keyword_planner_id: 10 | AIO: No | Client Mentioned: No  
[2026-02-26 11:23:26] local.INFO: Processed keyword: aayna clinic delhi | keyword_planner_id: 7 | AIO: No | Client Mentioned: No  
[2026-02-26 11:23:31] local.INFO: Processed keyword: aayna khan market | keyword_planner_id: 4 | AIO: No | Client Mentioned: No  
[2026-02-26 11:23:34] local.INFO: Processed keyword: aayna prive | keyword_planner_id: 3 | AIO: No | Client Mentioned: No  
[2026-02-26 11:23:37] local.INFO: Processed keyword: hydra facial price | keyword_planner_id: 6 | AIO: No | Client Mentioned: No  
[2026-02-26 11:23:42] local.INFO: Processed keyword: diet for glowing skin in 3 days | keyword_planner_id: 11 | AIO: No | Client Mentioned: No  
[2026-02-26 11:23:46] local.INFO: Processed keyword: aayna ludhiana | keyword_planner_id: 17 | AIO: No | Client Mentioned: No  
[2026-02-26 11:23:48] local.INFO: Processed keyword: aayna skin clinic | keyword_planner_id: 13 | AIO: No | Client Mentioned: No  
[2026-02-26 11:23:52] local.INFO: Processed keyword: ayana clinic | keyword_planner_id: 14 | AIO: No | Client Mentioned: No  
[2026-02-26 11:23:56] local.INFO: Processed keyword: korean facial in delhi | keyword_planner_id: 32 | AIO: No | Client Mentioned: No  
[2026-02-26 11:24:01] local.INFO: Processed keyword: aayna prive experience | keyword_planner_id: 35 | AIO: No | Client Mentioned: No  
[2026-02-26 11:24:03] local.INFO: Processed keyword: anti aging foods for men | keyword_planner_id: 29 | AIO: No | Client Mentioned: No  
[2026-02-26 11:24:06] local.INFO: Processed keyword: aayna clinic near me | keyword_planner_id: 16 | AIO: No | Client Mentioned: No  
[2026-02-26 11:24:10] local.INFO: Processed keyword: aayana clinic | keyword_planner_id: 23 | AIO: No | Client Mentioned: No  
[2026-02-26 11:24:18] local.INFO: Processed keyword: aayna gurgaon | keyword_planner_id: 15 | AIO: No | Client Mentioned: No  
[2026-02-26 11:24:24] local.INFO: Processed keyword: hydra facial | keyword_planner_id: 21 | AIO: Yes | Client Mentioned: No  
[2026-02-26 11:24:32] local.INFO: Processed keyword: aaina clinic | keyword_planner_id: 22 | AIO: Yes | Client Mentioned: Yes  
[2026-02-26 11:24:36] local.INFO: Processed keyword: hydra facial gurgaon | keyword_planner_id: 12 | AIO: No | Client Mentioned: No  
[2026-02-26 11:24:48] local.INFO: Processed keyword: aayna clinic ludhiana | keyword_planner_id: 25 | AIO: No | Client Mentioned: No  
[2026-02-26 11:24:51] local.INFO: Processed keyword: aaynaclinic | keyword_planner_id: 1924 | AIO: No | Client Mentioned: No  
[2026-02-26 11:24:54] local.INFO: Processed keyword: hydra facial near me | keyword_planner_id: 27 | AIO: No | Client Mentioned: No  
[2026-02-26 11:24:57] local.INFO: Processed keyword: skin looks worse after hydrafacial | keyword_planner_id: 1914 | AIO: Yes | Client Mentioned: No  
